,index,fullName,id,link,jerseyNumber,code,name,type,abbreviation,Team_Number,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,timeOnIce22,assists22,goals22,pim22,shots22,games22,hits22,powerPlayGoals22,powerPlayPoints22,powerPlayTimeOnIce22,evenTimeOnIce22,penaltyMinutes22,faceOffPct22,shotPct22,gameWinningGoals22,overTimeGoals22,shortHandedGoals22,shortHandedPoints22,shortHandedTimeOnIce22,blocked22,plusMinus22,points22,shifts22,timeOnIcePerGame22,evenTimeOnIcePerGame22,shortHandedTimeOnIcePerGame22,powerPlayTimeOnIcePerGame22,ot22,shutouts22,ties22,wins22,losses22,saves22,powerPlaySaves22,shortHandedSaves22,evenSaves22,shortHandedShots22,evenShots22,powerPlayShots22,savePercentage22,goalAgainstAverage22,gamesStarted22,shotsAgainst22,goalsAgainst22,powerPlaySavePercentage22,shortHandedSavePercentage22,evenStrengthSavePercentage22,timeOnIce21,assists21,goals21,pim21,shots21,games21,hits21,powerPlayGoals21,powerPlayPoints21,powerPlayTimeOnIce21,evenTimeOnIce21,penaltyMinutes21,faceOffPct21,shotPct21,gameWinningGoals21,overTimeGoals21,shortHandedGoals21,shortHandedPoints21,shortHandedTimeOnIce21,blocked21,plusMinus21,points21,shifts21,timeOnIcePerGame21,evenTimeOnIcePerGame21,shortHandedTimeOnIcePerGame21,powerPlayTimeOnIcePerGame21,ot21,shutouts21,ties21,wins21,losses21,saves21,powerPlaySaves21,shortHandedSaves21,evenSaves21,shortHandedShots21,evenShots21,powerPlayShots21,savePercentage21,goalAgainstAverage21,gamesStarted21,shotsAgainst21,goalsAgainst21,powerPlaySavePercentage21,shortHandedSavePercentage21,evenStrengthSavePercentage21,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,ties20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,ties19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,ties18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,timeOnIce16,assists16,goals16,pim16,shots16,games16,hits16,powerPlayGoals16,powerPlayPoints16,powerPlayTimeOnIce16,evenTimeOnIce16,penaltyMinutes16,faceOffPct16,shotPct16,gameWinningGoals16,overTimeGoals16,shortHandedGoals16,shortHandedPoints16,shortHandedTimeOnIce16,blocked16,plusMinus16,points16,shifts16,timeOnIcePerGame16,evenTimeOnIcePerGame16,shortHandedTimeOnIcePerGame16,powerPlayTimeOnIcePerGame16,timeOnIce15,assists15,goals15,pim15,shots15,games15,hits15,powerPlayGoals15,powerPlayPoints15,powerPlayTimeOnIce15,evenTimeOnIce15,penaltyMinutes15,faceOffPct15,shotPct15,gameWinningGoals15,overTimeGoals15,shortHandedGoals15,shortHandedPoints15,shortHandedTimeOnIce15,blocked15,plusMinus15,points15,shifts15,timeOnIcePerGame15,evenTimeOnIcePerGame15,shortHandedTimeOnIcePerGame15,powerPlayTimeOnIcePerGame15,timeOnIce14,assists14,goals14,pim14,shots14,games14,hits14,powerPlayGoals14,powerPlayPoints14,powerPlayTimeOnIce14,evenTimeOnIce14,penaltyMinutes14,faceOffPct14,shotPct14,gameWinningGoals14,overTimeGoals14,shortHandedGoals14,shortHandedPoints14,shortHandedTimeOnIce14,blocked14,plusMinus14,points14,shifts14,timeOnIcePerGame14,evenTimeOnIcePerGame14,shortHandedTimeOnIcePerGame14,powerPlayTimeOnIcePerGame14,Salary_2014-15,Salary_2015-16,Salary_2016-17,Salary_2017-18,Salary_2018-19,Salary_2019-20,Salary_2020-21,Salary_2021-22
0,2,P.K. Subban,8474056,/api/v1/people/8474056,76.0,D,Defenseman,Defenseman,D,1,1989-05-13,32,Toronto,ON,CAN,CAN,"6' 0""",210,True,True,False,False,R,Y,1408:48,17.0,5.0,82.0,114.0,77.0,69.0,0.0,0.0,45:05,1296:37,82.0,0.0,4.4,1.0,0.0,0.0,1.0,67:06,90.0,-8.0,22.0,1755.0,18:17,16:50,00:52,00:35,,,,,,,,,,,,,,,,,,,,,983:47,14.0,5.0,26.0,99.0,44.0,41.0,2.0,5.0,89:48,827:53,26.0,0.0,5.1,0.0,0.0,0.0,0.0,66:06,46.0,-16.0,19.0,1152.0,22:21,18:48,01:30,02:02,,,,,,,,,,,,,,,,,,,,,1504:25,11.0,7.0,79.0,151.0,68.0,88.0,2.0,6.0,160:14,1232:41,79.0,0.0,4.6,3.0,0.0,0.0,0.0,111:30,90.0,-21.0,18.0,1883.0,22:07,18:07,01:38,02:21,,1427:51,22.0,9.0,60.0,168.0,63.0,56.0,2.0,10.0,163:07,1166:17,60.0,0.0,5.36,1.0,0.0,1.0,1.0,98:27,75.0,5.0,31.0,1731.0,22:39,18:30,01:33,02:35,,1977:24,43.0,16.0,82.0,207.0,82.0,111.0,5.0,25.0,253:23,1507:00,82.0,33.33,7.73,2.0,0.0,0.0,1.0,217:01,90.0,18.0,59.0,2323.0,24:06,18:22,02:38,03:05,,1610:40,30.0,10.0,44.0,142.0,66.0,78.0,3.0,16.0,172:00,1300:43,44.0,0.0,7.04,2.0,0.0,0.0,1.0,137:57,104.0,-8.0,40.0,1860.0,24:24,19:42,02:05,02:36,1792:38,45.0,6.0,75.0,176.0,68.0,102.0,2.0,24.0,313:51,1319:21,75.0,0.0,3.41,0.0,0.0,0.0,0.0,159:26,80.0,4.0,51.0,1922.0,26:21,19:24,02:20,04:36,2148:40,45.0,15.0,74.0,170.0,82.0,97.0,8.0,21.0,302:12,1669:11,74.0,0.0,8.82,5.0,1.0,0.0,0.0,177:17,142.0,21.0,60.0,2472.0,26:12,20:21,02:09,03:41,2018:32,43.0,10.0,81.0,204.0,82.0,135.0,4.0,23.0,382:16,1581:14,81.0,0.0,4.9,1.0,1.0,0.0,0.0,55:02,125.0,-4.0,53.0,2196.0,24:36,19:17,00:40,04:39,7000000.0,7000000.0,11000000.0,11000000.0,10000000.0,10000000.0,8000000.0,8000000.0
1,5,Ryan Murray,8476850,/api/v1/people/8476850,22.0,D,Defenseman,Defenseman,D,1,1993-09-27,27,Regina,SK,CAN,CAN,"6' 1""",206,True,False,False,False,L,Y,521:14,4.0,0.0,2.0,26.0,37.0,32.0,0.0,0.0,01:03,480:18,2.0,0.0,0.0,0.0,0.0,0.0,1.0,39:53,41.0,-3.0,4.0,721.0,14:05,12:58,01:04,00:01,,,,,,,,,,,,,,,,,,,,,893:28,14.0,0.0,8.0,29.0,48.0,38.0,0.0,0.0,03:12,809:42,8.0,0.0,0.0,0.0,0.0,0.0,0.0,80:34,73.0,3.0,14.0,1099.0,18:36,16:52,01:40,00:04,,,,,,,,,,,,,,,,,,,,,538:48,7.0,2.0,4.0,32.0,27.0,12.0,0.0,2.0,23:15,460:25,4.0,0.0,6.3,0.0,0.0,0.0,0.0,55:08,50.0,-9.0,9.0,708.0,19:57,17:03,02:02,00:51,,1200:36,28.0,1.0,10.0,71.0,56.0,27.0,0.0,1.0,33:43,1025:18,10.0,0.0,1.41,0.0,0.0,0.0,0.0,141:35,93.0,20.0,29.0,1501.0,21:26,18:18,02:31,00:36,,811:12,11.0,1.0,8.0,34.0,44.0,31.0,0.0,0.0,12:06,710:11,8.0,0.0,2.94,0.0,0.0,0.0,0.0,88:55,75.0,4.0,12.0,1059.0,18:26,16:08,02:01,00:16,,1099:59,9.0,2.0,24.0,52.0,60.0,23.0,0.0,1.0,26:42,960:50,24.0,0.0,3.85,0.0,0.0,0.0,1.0,112:27,96.0,3.0,11.0,1463.0,18:19,16:00,01:52,00:26,1873:23,21.0,4.0,40.0,90.0,82.0,51.0,1.0,11.0,216:26,1480:52,40.0,0.0,4.44,0.0,0.0,0.0,0.0,176:05,171.0,-10.0,25.0,2258.0,22:50,18:03,02:08,02:38,226:54,2.0,1.0,8.0,8.0,12.0,5.0,1.0,1.0,09:13,196:56,8.0,0.0,12.5,0.0,0.0,0.0,0.0,20:45,11.0,1.0,3.0,280.0,18:54,16:24,01:43,00:46,1311:28,17.0,4.0,10.0,62.0,66.0,26.0,3.0,7.0,136:01,1060:49,10.0,0.0,6.45,0.0,0.0,0.0,1.0,114:38,97.0,4.0,21.0,1487.0,19:52,16:04,01:44,02:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0
2,6,Damon Severson,8476923,/api/v1/people/8476923,28.0,D,Defenseman,Defenseman,D,1,1994-08-07,26,Melville,SK,CAN,CAN,"6' 2""",205,True,True,False,False,R,Y,1888:23,35.0,11.0,57.0,158.0,80.0,91.0,5.0,16.0,186:35,1497:42,57.0,0.0,7.0,0.0,0.0,0.0,1.0,204:06,92.0,-14.0,46.0,2121.0,23:36,18:43,02:33,02:19,,,,,,,,,,,,,,,,,,,,,1259:08,18.0,3.0,29.0,91.0,56.0,57.0,0.0,4.0,103:02,1041:38,29.0,0.0,3.3,0.0,0.0,0.0,1.0,114:28,50.0,-8.0,21.0,1455.0,22:29,18:36,02:02,01:50,,,,,,,,,,,,,,,,,,,,,1584:26,23.0,8.0,52.0,114.0,69.0,81.0,3.0,10.0,137:22,1277:50,52.0,0.0,7.0,2.0,0.0,0.0,0.0,169:14,97.0,-20.0,31.0,1924.0,22:57,18:31,02:27,01:59,,1807:31,28.0,11.0,58.0,146.0,82.0,83.0,3.0,12.0,201:51,1483:03,58.0,0.0,7.53,0.0,0.0,0.0,1.0,122:37,87.0,-27.0,39.0,2155.0,22:02,18:05,01:29,02:27,,1495:40,15.0,9.0,42.0,121.0,76.0,107.0,0.0,4.0,124:24,1342:30,42.0,0.0,7.44,2.0,0.0,0.0,0.0,28:46,62.0,-8.0,24.0,1904.0,19:40,17:39,00:22,01:38,,1628:11,28.0,3.0,58.0,125.0,80.0,79.0,0.0,13.0,181:27,1421:30,58.0,0.0,2.4,1.0,0.0,0.0,0.0,25:14,73.0,-31.0,31.0,2091.0,20:21,17:46,00:18,02:16,1307:52,20.0,1.0,32.0,94.0,72.0,66.0,0.0,5.0,122:40,1163:25,32.0,0.0,1.06,0.0,0.0,0.0,0.0,21:47,41.0,-8.0,21.0,1663.0,18:09,16:09,00:18,01:42,1120:07,12.0,5.0,22.0,93.0,51.0,19.0,0.0,7.0,106:23,960:23,22.0,0.0,5.38,0.0,0.0,0.0,0.0,53:21,34.0,-13.0,17.0,1438.0,21:57,18:49,01:02,02:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2500000.0,3000000.0,4675000.0,4675000.0,5050000.0
3,10,Will Butcher,8477355,/api/v1/people/8477355,8.0,D,Defenseman,Defenseman,D,1,1995-01-06,26,Sun Prairie,WI,USA,USA,"5' 10""",190,True,False,False,False,L,Y,609:53,6.0,2.0,0.0,35.0,37.0,11.0,0.0,2.0,25:12,581:44,0.0,0.0,5.7,0.0,0.0,0.0,0.0,02:57,32.0,-10.0,8.0,762.0,16:29,15:43,00:04,00:40,,,,,,,,,,,,,,,,,,,,,437:44,10.0,1.0,2.0,37.0,23.0,7.0,0.0,2.0,30:34,406:36,2.0,0.0,2.7,0.0,0.0,0.0,0.0,00:34,28.0,-3.0,11.0,519.0,19:01,17:40,00:01,01:19,,,,,,,,,,,,,,,,,,,,,1003:22,17.0,4.0,6.0,62.0,56.0,31.0,0.0,1.0,72:35,918:16,6.0,0.0,6.5,1.0,0.0,0.0,0.0,12:31,75.0,-8.0,21.0,1269.0,17:55,16:23,00:13,01:17,,1503:25,26.0,4.0,18.0,108.0,78.0,38.0,1.0,14.0,216:04,1277:07,18.0,0.0,3.7,1.0,0.0,0.0,0.0,10:14,74.0,-17.0,30.0,1804.0,19:16,16:22,00:07,02:46,,1301:12,39.0,5.0,8.0,88.0,81.0,21.0,3.0,23.0,214:24,1082:48,8.0,0.0,5.68,1.0,0.0,0.0,0.0,04:00,62.0,1.0,44.0,1679.0,16:03,13:22,00:02,02:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3500000.0,3600000.0,4100000.0
4,11,Miles Wood,8477425,/api/v1/people/8477425,44.0,L,Left Wing,Forward,LW,1,1995-09-13,25,Buffalo,NY,USA,USA,"6' 2""",195,True,True,False,False,L,Y,44:17,0.0,0.0,4.0,2.0,3.0,5.0,0.0,0.0,03:49,39:56,4.0,0.0,0.0,0.0,0.0,0.0,0.0,00:32,1.0,-2.0,0.0,59.0,14:45,13:18,00:10,01:16,,,,,,,,,,,,,,,,,,,,,823:38,8.0,17.0,29.0,127.0,55.0,38.0,3.0,3.0,103:58,716:22,29.0,35.0,13.4,2.0,0.0,0.0,0.0,03:18,25.0,-6.0,25.0,1136.0,14:58,13:01,00:03,01:53,,,,,,,,,,,,,,,,,,,,,899:52,12.0,11.0,57.0,141.0,68.0,102.0,0.0,0.0,53:47,841:58,57.0,0.0,7.8,1.0,0.0,0.0,0.0,04:07,26.0,-19.0,23.0,1169.0,13:14,12:22,00:03,00:47,,862:44,14.0,10.0,91.0,159.0,63.0,97.0,1.0,3.0,76:11,786:17,91.0,0.0,6.29,1.0,0.0,0.0,0.0,00:16,27.0,-10.0,24.0,1113.0,13:41,12:28,00:00,01:12,,946:53,13.0,19.0,84.0,170.0,76.0,75.0,3.0,3.0,72:27,873:52,84.0,66.66,11.18,2.0,0.0,0.0,0.0,00:34,22.0,-6.0,32.0,1275.0,12:27,11:29,00:00,00:57,,771:09,9.0,8.0,86.0,105.0,60.0,68.0,2.0,4.0,86:31,683:33,86.0,50.0,7.62,0.0,0.0,0.0,0.0,01:05,26.0,-21.0,17.0,1038.0,12:51,11:23,00:01,01:26,13:06,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,00:07,12:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,16.0,13:06,12:59,00:00,00:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2500000.0,2500000.0,2500000.0,3500000.0
5,12,Ryan Graves,8477435,/api/v1/people/8477435,27.0,D,Defenseman,Defenseman,D,1,1995-05-21,26,Yarmouth,NS,CAN,CAN,"6' 5""",220,True,False,False,False,L,Y,1554:09,22.0,6.0,24.0,111.0,75.0,90.0,0.0,0.0,04:40,1366:25,24.0,0.0,5.4,0.0,0.0,0.0,0.0,183:04,135.0,-9.0,28.0,1859.0,20:43,18:13,02:26,00:03,,,,,,,,,,,,,,,,,,,,,1029:01,13.0,2.0,55.0,101.0,54.0,77.0,0.0,0.0,02:46,847:18,55.0,0.0,2.0,0.0,0.0,0.0,0.0,178:57,91.0,15.0,15.0,1248.0,19:03,15:41,03:18,00:03,,,,,,,,,,,,,,,,,,,,,1307:03,17.0,9.0,45.0,134.0,69.0,112.0,0.0,0.0,04:06,1109:46,45.0,0.0,6.7,0.0,0.0,0.0,2.0,193:11,150.0,40.0,26.0,1580.0,18:56,16:05,02:47,00:03,,288:42,2.0,3.0,2.0,26.0,26.0,32.0,0.0,0.0,00:03,257:02,2.0,0.0,11.54,0.0,0.0,0.0,0.0,31:37,51.0,4.0,5.0,405.0,11:06,09:53,01:12,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,3000000.0
6,13,Jonas Siegenthaler,8478399,/api/v1/people/8478399,71.0,D,Defenseman,Defenseman,D,1,1997-05-06,24,Zurich,,CHE,CHE,"6' 3""",211,True,False,False,False,L,Y,1439:05,13.0,1.0,42.0,92.0,70.0,98.0,0.0,0.0,01:53,1269:49,42.0,0.0,1.1,0.0,0.0,0.0,1.0,167:23,106.0,-5.0,14.0,1690.0,20:33,18:08,02:23,00:01,,,,,,,,,,,,,,,,,,,,,234:15,0.0,0.0,4.0,7.0,15.0,20.0,0.0,0.0,00:29,202:24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,31:22,17.0,-9.0,0.0,292.0,15:37,13:29,02:05,00:01,,,,,,,,,,,,,,,,,,,,,1006:39,7.0,2.0,43.0,49.0,64.0,51.0,0.0,0.0,00:37,802:16,43.0,0.0,4.1,1.0,0.0,0.0,0.0,203:46,105.0,11.0,9.0,1248.0,15:43,12:32,03:11,00:00,,367:59,4.0,0.0,10.0,12.0,26.0,31.0,0.0,0.0,00:13,340:24,10.0,0.0,0.0,0.0,0.0,0.0,0.0,27:22,44.0,6.0,4.0,481.0,14:09,13:05,01:03,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050000.0
7,14,Pavel Zacha,8478401,/api/v1/people/8478401,37.0,C,Center,Forward,C,1,1997-04-06,24,Brno,,CZE,CZE,"6' 3""",210,True,False,False,False,L,Y,1179:13,21.0,15.0,22.0,148.0,70.0,80.0,4.0,8.0,153:24,999:09,22.0,50.13,10.1,1.0,1.0,0.0,0.0,26:40,18.0,-21.0,36.0,1548.0,16:50,14:16,00:22,02:11,,,,,,,,,,,,,,,,,,,,,857:45,18.0,17.0,10.0,103.0,50.0,42.0,5.0,11.0,133:37,657:20,10.0,51.48,16.5,4.0,2.0,0.0,0.0,66:48,10.0,-11.0,35.0,1168.0,17:09,13:08,01:20,02:40,,,,,,,,,,,,,,,,,,,,,1057:23,24.0,8.0,14.0,97.0,65.0,62.0,3.0,8.0,106:40,818:37,14.0,43.27,8.2,1.0,0.0,2.0,4.0,132:06,19.0,-12.0,32.0,1343.0,16:16,12:35,02:01,01:38,,980:51,12.0,13.0,15.0,99.0,61.0,68.0,4.0,6.0,103:01,744:43,15.0,48.87,13.13,2.0,0.0,2.0,3.0,133:07,24.0,-6.0,25.0,1224.0,16:04,12:12,02:10,01:41,,991:37,17.0,8.0,30.0,112.0,69.0,70.0,2.0,5.0,90:10,829:06,30.0,43.86,7.14,0.0,0.0,1.0,1.0,72:21,22.0,-3.0,25.0,1298.0,14:22,12:00,01:02,01:18,,1001:33,16.0,8.0,19.0,83.0,70.0,54.0,5.0,13.0,128:46,823:46,19.0,40.26,9.64,2.0,0.0,0.0,0.0,49:01,24.0,-17.0,24.0,1299.0,14:18,11:46,00:42,01:50,16:51,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,04:14,11:42,0.0,33.33,0.0,0.0,0.0,0.0,0.0,00:55,0.0,4.0,2.0,21.0,16:51,11:42,00:55,04:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1750000.0,2000000.0,3000000.0
8,17,Jesper Bratt,8479407,/api/v1/people/8479407,63.0,L,Left Wing,Forward,LW,1,1998-07-30,22,Stockholm,,SWE,SWE,"5' 10""",175,True,False,False,False,L,Y,1324:41,47.0,26.0,16.0,197.0,76.0,26.0,3.0,18.0,206:47,1114:23,16.0,0.0,13.2,6.0,0.0,0.0,0.0,03:31,30.0,0.0,73.0,1749.0,17:25,14:39,00:02,02:43,,,,,,,,,,,,,,,,,,,,,739:30,23.0,7.0,8.0,101.0,46.0,31.0,2.0,8.0,109:51,610:40,8.0,33.33,6.9,1.0,1.0,0.0,1.0,18:59,18.0,4.0,30.0,1019.0,16:04,13:16,00:24,02:23,,,,,,,,,,,,,,,,,,,,,838:58,16.0,16.0,6.0,101.0,60.0,29.0,1.0,6.0,120:47,716:17,6.0,23.07,15.8,2.0,0.0,0.0,0.0,01:54,22.0,-6.0,32.0,1096.0,13:58,11:56,00:01,02:00,,773:33,25.0,8.0,6.0,91.0,51.0,36.0,1.0,8.0,110:32,654:31,6.0,57.14,8.79,1.0,0.0,0.0,0.0,08:30,22.0,-8.0,33.0,961.0,15:10,12:50,00:10,02:10,,1128:36,22.0,13.0,18.0,100.0,74.0,44.0,4.0,12.0,151:42,898:01,18.0,63.63,13.0,2.0,0.0,1.0,2.0,78:53,22.0,-16.0,35.0,1516.0,15:15,12:08,01:03,02:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2050000.0,3450000.0
9,18,Nathan Bastian,8479414,/api/v1/people/8479414,14.0,R,Right Wing,Forward,RW,1,1997-12-06,23,Kitchener,ON,CAN,CAN,"6' 4""",205,True,False,False,True,R,Y,857:10,6.0,12.0,65.0,97.0,72.0,210.0,3.0,4.0,116:09,724:24,65.0,47.91,12.4,1.0,0.0,0.0,0.0,16:37,40.0,-12.0,18.0,1196.0,11:54,10:03,00:13,01:36,,,,,,,,,,,,,,,,,,,,,517:27,7.0,3.0,21.0,46.0,41.0,136.0,0.0,0.0,05:52,460:32,21.0,36.36,6.5,0.0,0.0,0.0,0.0,51:03,25.0,0.0,10.0,795.0,12:37,11:13,01:14,00:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88:46,0.0,3.0,10.0,13.0,7.0,24.0,0.0,0.0,11:21,77:25,10.0,100.0,23.08,0.0,0.0,0.0,0.0,00:00,1.0,0.0,3.0,119.0,12:40,11:03,00:00,01:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600625.0
