,fullName,id,link,jerseyNumber,code,name,type,abbreviation,Team_Number,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,timeOnIce22,assists22,goals22,pim22,shots22,games22,hits22,powerPlayGoals22,powerPlayPoints22,powerPlayTimeOnIce22,evenTimeOnIce22,penaltyMinutes22,faceOffPct22,shotPct22,gameWinningGoals22,overTimeGoals22,shortHandedGoals22,shortHandedPoints22,shortHandedTimeOnIce22,blocked22,plusMinus22,points22,shifts22,timeOnIcePerGame22,evenTimeOnIcePerGame22,shortHandedTimeOnIcePerGame22,powerPlayTimeOnIcePerGame22,ot22,shutouts22,ties22,wins22,losses22,saves22,powerPlaySaves22,shortHandedSaves22,evenSaves22,shortHandedShots22,evenShots22,powerPlayShots22,savePercentage22,goalAgainstAverage22,gamesStarted22,shotsAgainst22,goalsAgainst22,powerPlaySavePercentage22,shortHandedSavePercentage22,evenStrengthSavePercentage22,timeOnIce21,assists21,goals21,pim21,shots21,games21,hits21,powerPlayGoals21,powerPlayPoints21,powerPlayTimeOnIce21,evenTimeOnIce21,penaltyMinutes21,faceOffPct21,shotPct21,gameWinningGoals21,overTimeGoals21,shortHandedGoals21,shortHandedPoints21,shortHandedTimeOnIce21,blocked21,plusMinus21,points21,shifts21,timeOnIcePerGame21,evenTimeOnIcePerGame21,shortHandedTimeOnIcePerGame21,powerPlayTimeOnIcePerGame21,ot21,shutouts21,ties21,wins21,losses21,saves21,powerPlaySaves21,shortHandedSaves21,evenSaves21,shortHandedShots21,evenShots21,powerPlayShots21,savePercentage21,goalAgainstAverage21,gamesStarted21,shotsAgainst21,goalsAgainst21,powerPlaySavePercentage21,shortHandedSavePercentage21,evenStrengthSavePercentage21,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,ot20,shutouts20,ties20,wins20,losses20,saves20,powerPlaySaves20,shortHandedSaves20,evenSaves20,shortHandedShots20,evenShots20,powerPlayShots20,savePercentage20,goalAgainstAverage20,gamesStarted20,shotsAgainst20,goalsAgainst20,powerPlaySavePercentage20,shortHandedSavePercentage20,evenStrengthSavePercentage20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,ot19,shutouts19,ties19,wins19,losses19,saves19,powerPlaySaves19,shortHandedSaves19,evenSaves19,shortHandedShots19,evenShots19,powerPlayShots19,savePercentage19,goalAgainstAverage19,gamesStarted19,shotsAgainst19,goalsAgainst19,powerPlaySavePercentage19,shortHandedSavePercentage19,evenStrengthSavePercentage19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,ot18,shutouts18,ties18,wins18,losses18,saves18,powerPlaySaves18,shortHandedSaves18,evenSaves18,shortHandedShots18,evenShots18,powerPlayShots18,savePercentage18,goalAgainstAverage18,gamesStarted18,shotsAgainst18,goalsAgainst18,powerPlaySavePercentage18,shortHandedSavePercentage18,evenStrengthSavePercentage18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,ot17,shutouts17,wins17,losses17,saves17,powerPlaySaves17,shortHandedSaves17,evenSaves17,shortHandedShots17,evenShots17,powerPlayShots17,savePercentage17,goalAgainstAverage17,gamesStarted17,shotsAgainst17,goalsAgainst17,powerPlaySavePercentage17,shortHandedSavePercentage17,evenStrengthSavePercentage17,timeOnIce16,assists16,goals16,pim16,shots16,games16,hits16,powerPlayGoals16,powerPlayPoints16,powerPlayTimeOnIce16,evenTimeOnIce16,penaltyMinutes16,faceOffPct16,shotPct16,gameWinningGoals16,overTimeGoals16,shortHandedGoals16,shortHandedPoints16,shortHandedTimeOnIce16,blocked16,plusMinus16,points16,shifts16,timeOnIcePerGame16,evenTimeOnIcePerGame16,shortHandedTimeOnIcePerGame16,powerPlayTimeOnIcePerGame16,ot16,shutouts16,wins16,losses16,saves16,powerPlaySaves16,shortHandedSaves16,evenSaves16,shortHandedShots16,evenShots16,powerPlayShots16,savePercentage16,goalAgainstAverage16,gamesStarted16,shotsAgainst16,goalsAgainst16,powerPlaySavePercentage16,shortHandedSavePercentage16,evenStrengthSavePercentage16,timeOnIce15,assists15,goals15,pim15,shots15,games15,hits15,powerPlayGoals15,powerPlayPoints15,powerPlayTimeOnIce15,evenTimeOnIce15,penaltyMinutes15,faceOffPct15,shotPct15,gameWinningGoals15,overTimeGoals15,shortHandedGoals15,shortHandedPoints15,shortHandedTimeOnIce15,blocked15,plusMinus15,points15,shifts15,timeOnIcePerGame15,evenTimeOnIcePerGame15,shortHandedTimeOnIcePerGame15,powerPlayTimeOnIcePerGame15,ot15,shutouts15,wins15,losses15,saves15,powerPlaySaves15,shortHandedSaves15,evenSaves15,shortHandedShots15,evenShots15,powerPlayShots15,savePercentage15,goalAgainstAverage15,gamesStarted15,shotsAgainst15,goalsAgainst15,powerPlaySavePercentage15,shortHandedSavePercentage15,evenStrengthSavePercentage15,timeOnIce14,assists14,goals14,pim14,shots14,games14,hits14,powerPlayGoals14,powerPlayPoints14,powerPlayTimeOnIce14,evenTimeOnIce14,penaltyMinutes14,faceOffPct14,shotPct14,gameWinningGoals14,overTimeGoals14,shortHandedGoals14,shortHandedPoints14,shortHandedTimeOnIce14,blocked14,plusMinus14,points14,shifts14,timeOnIcePerGame14,evenTimeOnIcePerGame14,shortHandedTimeOnIcePerGame14,powerPlayTimeOnIcePerGame14,ot14,shutouts14,wins14,losses14,saves14,powerPlaySaves14,shortHandedSaves14,evenSaves14,shortHandedShots14,evenShots14,powerPlayShots14,savePercentage14,goalAgainstAverage14,gamesStarted14,shotsAgainst14,goalsAgainst14,powerPlaySavePercentage14,shortHandedSavePercentage14,evenStrengthSavePercentage14,Salary_2014-15,Salary_2015-16,Salary_2016-17,Salary_2017-18,Salary_2018-19,Salary_2019-20,Salary_2020-21,Salary_2021-22
0,Scott Wedgewood,8475809,/api/v1/people/8475809,41,G,Goalie,Goalie,G,1,1992-08-14,28,Brampton,ON,CAN,CAN,"6' 2""",207,True,False,False,False,L,Y,2103:08,,,,,37,,,,,,,,,,,,,,,,,,56:50,,,,6,1,0,13,15,1108,144,25,939,26,1028,164,0.91,3.1382,32,1218,110,87.8048780487805,96.15384615384616,91.34241245136187,888:02,,,,,16,,,,,,,,,,,,,,,,,,55:30,,,,3,2,0,3,8,412,52,7,353,8,388,62,0.9,3.108,15,458,46,83.87096774193549,87.5,90.97938144329896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096:30,,,,,20,,,,,,,,,,,,,,,,,,54:49,,,,4,1,0,5,9,524,42,13,469,16,520,51,0.892675,3.447332,17,587,63,82.35294117647058,81.25,90.1923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240:45,,,,,4,,,,,,,,,,,,,,,,,,60:11,,,,1,1,2,1,111,17,2,92,2,96,18,0.956897,1.246106,4,116,5,94.44444444444444,100.0,95.83333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165000.0
1,Aaron Dell,8477180,/api/v1/people/8477180,47,G,Goalie,Goalie,G,1,1989-05-04,32,Airdrie,AB,CAN,CAN,"6' 0""",209,True,False,False,False,L,Y,565:23,,,,,12,,,,,,,,,,,,,,,,,,47:06,,,,1,0,0,1,8,316,32,12,272,13,297,44,0.893,4.0327,9,354,38,72.72727272727273,92.3076923076923,91.58249158249158,319:10,,,,,7,,,,,,,,,,,,,,,,,,45:35,,,,0,0,0,1,5,132,18,3,111,3,126,25,0.857,4.1358,5,154,22,72.0,100.0,88.09523809523809,1834:14,,,,,33,,,,,,,,,,,,,,,,,,55:34,,,,3,0,0,12,15,894,118,24,752,26,827,133,0.907,3.0094,30,986,92,88.7218045112782,92.3076923076923,90.9310761789601,1323:17,,,,,25,,,,,,,,,,,,,,,,,,52:55,,,,4,2,0,10,8,543,67,24,452,26,503,84,0.885808,3.173923,20,613,70,79.76190476190477,92.3076923076923,89.86083499005964,1522:05,,,,,29,,,,,,,,,,,,,,,,,,52:29,,,,4,2,0,15,5,708,96,26,586,27,640,108,0.913548,2.641117,22,775,67,88.88888888888889,96.29629629629629,91.5625,1110:33,,,,,20,,,,,,,,,,,,,,,,,,55:31,,,,1,1,11,6,496,47,9,440,12,465,56,0.930582,1.999009,17,533,37,83.92857142857143,75.0,94.6236559139785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Mackenzie Blackwood,8478406,/api/v1/people/8478406,29,G,Goalie,Goalie,G,1,1996-12-09,24,Thunder Bay,ON,CAN,CAN,"6' 4""",225,True,False,False,False,L,Y,1399:03,,,,,25,,,,,,,,,,,,,,,,,,55:57,,,,4,2,0,9,10,652,63,13,576,17,643,71,0.892,3.388,24,731,79,88.73239436619718,76.47058823529412,89.5800933125972,2090:37,,,,,35,,,,,,,,,,,,,,,,,,59:43,,,,4,1,0,14,17,975,113,26,836,29,915,137,0.902,3.0422,35,1081,106,82.48175182481752,89.65517241379311,91.36612021857924,2684:01,,,,,47,,,,,,,,,,,,,,,,,,57:06,,,,8,3,0,22,14,1328,160,36,1132,42,1225,185,0.915,2.772,43,1452,124,86.48648648648648,85.71428571428571,92.40816326530611,1263:52,,,,,23,,,,,,,,,,,,,,,,,,54:57,,,,0,2,0,10,10,614,75,23,516,23,562,84,0.917788,2.611035,21,669,55,89.28571428571429,100.0,91.81494661921708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Cory Schneider,8471239,/api/v1/people/8471239,35,G,Goalie,Goalie,G,2,1986-03-18,35,Marblehead,MA,USA,USA,"6' 3""",200,True,False,False,False,L,Y,60:00,,,,,1,,,,,,,,,,,,,,,,,,60:00,,,,0,0,0,1,0,27,2,0,25,0,28,2,0.9,3.0,1,30,3,100.0,,89.28571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679:16,,,,,13,,,,,,,,,,,,,,,,,,52:15,,,,2,1,0,3,6,315,42,11,262,12,293,50,0.887,3.5332,11,355,40,84.0,91.66666666666666,89.419795221843,1371:47,,,,,26,,,,,,,,,,,,,,,,,,52:45,,,,4,1,0,6,13,648,74,22,552,25,610,83,0.902507,3.061708,23,718,70,89.1566265060241,88.0,90.49180327868852,2332:15,,,,,40,,,,,,,,,,,,,,,,,,58:18,,,,6,1,0,17,16,1114,169,34,911,36,996,196,0.907166,2.93279,40,1228,114,86.22448979591837,94.44444444444444,91.46586345381526,3472:50,,,,,60,,,,,,,,,,,,,,,,,,57:52,,,,11,2,20,27,1618,207,43,1368,52,1487,242,0.908478,2.816144,59,1781,163,85.53719008264463,82.6923076923077,91.99731002017485,3412:26,,,,,58,,,,,,,,,,,,,,,,,,58:50,,,,6,4,27,25,1475,228,39,1208,44,1295,258,0.923607,2.145097,58,1597,122,88.37209302325581,88.63636363636364,93.28185328185327,3923:55,,,,,69,,,,,,,,,,,,,,,,,,56:52,,,,9,5,26,31,1834,296,44,1494,48,1602,332,0.925328,2.263045,68,1982,148,89.1566265060241,91.66666666666666,93.25842696629213,2679:54,,,,,45,,,,,,,,,,,,,,,,,,59:33,,,,12,3,16,15,1019,171,33,815,33,888,186,0.920506,1.970223,43,1107,88,91.93548387096774,100.0,91.77927927927928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Semyon Varlamov,8473575,/api/v1/people/8473575,40,G,Goalie,Goalie,G,2,1988-04-27,33,Samara,,RUS,RUS,"6' 2""",215,True,False,False,False,L,Y,1792:17,,,,,31,,,,,,,,,,,,,,,,,,57:48,,,,2,2,0,10,17,891,108,24,759,26,833,119,0.911,2.9125,29,978,87,90.75630252100841,92.3076923076923,91.11644657863145,2116:56,,,,,36,,,,,,,,,,,,,,,,,,58:48,,,,4,7,0,19,11,948,111,19,818,19,875,126,0.929,2.0407,35,1020,72,88.09523809523809,100.0,93.48571428571428,2517:19,,,,,45,,,,,,,,,,,,,,,,,,55:56,,,,6,2,0,19,14,1168,147,23,998,26,1084,168,0.914,2.6218,39,1278,110,87.5,88.46153846153845,92.06642066420663,2839:12,,,,,49,,,,,,,,,,,,,,,,,,57:56,,,,9,2,0,20,19,1360,234,31,1095,33,1195,268,0.909091,2.874049,49,1496,136,87.31343283582089,93.93939393939394,91.63179916317992,2861:03,,,,,51,,,,,,,,,,,,,,,,,,56:05,,,,6,2,0,24,16,1467,225,43,1199,48,1299,248,0.919749,2.684329,47,1595,128,90.7258064516129,89.58333333333334,92.30177059276366,1347:47,,,,,24,,,,,,,,,,,,,,,,,,56:09,,,,0,1,6,17,669,109,21,539,21,596,128,0.897987,3.383333,23,745,76,85.15625,100.0,90.43624161073825,3159:25,,,,,57,,,,,,,,,,,,,,,,,,55:25,,,,3,2,27,25,1566,207,45,1314,49,1424,241,0.913652,2.810645,57,1714,148,85.89211618257261,91.83673469387756,92.2752808988764,3306:50,,,,,57,,,,,,,,,,,,,,,,,,58:00,,,,8,5,28,20,1650,244,35,1371,36,1496,259,0.921273,2.558339,57,1791,141,94.20849420849422,97.22222222222221,91.64438502673798,3639:46,,,,,63,,,,,,,,,,,,,,,,,,57:46,,,,6,2,41,14,1867,273,39,1555,40,1667,306,0.927471,2.406748,60,2013,146,89.2156862745098,97.5,93.28134373125376,0.0,0.0,0.0,0.0,0.0,6000000.0,4000000.0,6000000.0
5,Ilya Sorokin,8478009,/api/v1/people/8478009,30,G,Goalie,Goalie,G,2,1995-08-04,25,Mezhdurechensk,,RUS,RUS,"6' 3""",190,True,False,False,True,L,Y,3072:17,,,,,52,,,,,,,,,,,,,,,,,,59:04,,,,8,7,0,26,18,1520,174,35,1311,40,1407,196,0.925,2.4021,52,1643,123,88.77551020408163,87.5,93.17697228144989,1271:47,,,,,22,,,,,,,,,,,,,,,,,,57:48,,,,3,3,0,13,6,517,52,16,449,16,489,58,0.918,2.1702,21,563,46,89.65517241379311,100.0,91.8200408997955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0
6,Ken Appleby,8478965,/api/v1/people/8478965,55,G,Goalie,Goalie,G,2,1995-04-10,26,North Bay,ON,CAN,CAN,"6' 4""",210,True,False,False,True,L,Y,00:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124:20,,,,,3,,,,,,,,,,,,,,,,,,41:26,,,,0,0,0,0,1,52,7,2,43,3,45,7,0.945455,1.447721,1,55,3,100.0,66.66666666666666,95.55555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Keith Kinkaid,8476234,/api/v1/people/8476234,71,G,Goalie,Goalie,G,3,1989-07-04,32,Farmingville,NY,USA,USA,"6' 3""",186,True,False,False,False,L,Y,60:00,,,,,1,,,,,,,,,,,,,,,,,,60:00,,,,0,0,0,1,0,29,3,0,26,1,27,3,0.935,2.0,1,31,2,100.0,0.0,96.29629629629629,485:53,,,,,9,,,,,,,,,,,,,,,,,,53:59,,,,1,1,0,3,2,184,29,7,148,8,166,31,0.898,2.5932,7,205,21,93.54838709677419,87.5,89.1566265060241,339:59,,,,,6,,,,,,,,,,,,,,,,,,56:39,,,,3,0,0,1,1,168,23,5,140,6,157,29,0.875,4.2355,5,192,24,79.3103448275862,83.33333333333334,89.171974522293,2301:58,,,,,41,,,,,,,,,,,,,,,,,,56:08,,,,6,3,0,15,18,1059,120,44,895,48,998,142,0.891414,3.362342,38,1188,129,84.50704225352112,91.66666666666666,89.67935871743487,2297:34,,,,,41,,,,,,,,,,,,,,,,,,56:02,,,,3,1,0,26,10,1108,138,32,938,33,1026,155,0.912685,2.768146,38,1214,106,89.03225806451613,96.96969696969697,91.42300194931774,1476:05,,,,,26,,,,,,,,,,,,,,,,,,56:46,,,,3,1,8,13,713,125,14,574,17,618,143,0.916452,2.642127,23,778,65,87.41258741258741,82.35294117647058,92.88025889967638,1240:26,,,,,23,,,,,,,,,,,,,,,,,,53:55,,,,1,2,9,9,547,93,11,443,12,488,105,0.904132,2.805471,20,605,58,88.57142857142857,91.66666666666666,90.77868852459017,925:26,,,,,19,,,,,,,,,,,,,,,,,,48:42,,,,4,0,6,5,429,59,9,361,11,387,71,0.914712,2.59338,13,469,40,83.09859154929578,81.81818181818183,93.28165374677002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,148718.0,0.0
8,Igor Shesterkin,8478048,/api/v1/people/8478048,31,G,Goalie,Goalie,G,3,1995-12-30,25,Moscow,,RUS,RUS,"6' 2""",182,True,False,False,True,L,Y,3070:32,,,,,53,,,,,,,,,,,,,,,,,,57:56,,,,4,6,0,36,13,1516,235,38,1243,38,1331,253,0.935,2.0713,52,1622,106,92.88537549407114,100.0,93.38842975206612,1899:01,,,,,35,,,,,,,,,,,,,,,,,,54:15,,,,3,2,0,16,14,904,120,24,760,24,821,142,0.916,2.6224,31,987,83,84.50704225352112,100.0,92.5700365408039,691:35,,,,,12,,,,,,,,,,,,,,,,,,57:37,,,,0,0,0,10,2,395,54,11,330,12,353,59,0.932,2.516,12,424,29,91.52542372881356,91.66666666666666,93.48441926345609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0
9,Alexandar Georgiev,8480382,/api/v1/people/8480382,40,G,Goalie,Goalie,G,3,1996-02-10,25,Ruse,,BGR,RUS,"6' 1""",178,True,False,False,False,L,Y,1746:06,,,,,33,,,,,,,,,,,,,,,,,,52:54,,,,2,2,0,15,10,747,81,14,652,15,715,102,0.898,2.9208,28,832,85,79.41176470588235,93.33333333333333,91.18881118881119,973:56,,,,,19,,,,,,,,,,,,,,,,,,51:15,,,,2,2,0,8,7,421,47,8,366,10,402,53,0.905,2.7107,18,465,44,88.67924528301887,80.0,91.04477611940298,1891:44,,,,,34,,,,,,,,,,,,,,,,,,55:38,,,,2,2,0,17,14,967,175,27,765,29,837,197,0.91,3.0448,32,1063,96,88.83248730964468,93.10344827586206,91.39784946236558,1874:10,,,,,33,,,,,,,,,,,,,,,,,,56:47,,,,4,2,0,14,13,966,146,23,797,25,872,160,0.913907,2.913295,30,1057,91,91.25,92.0,91.39908256880734,514:46,,,,,10,,,,,,,,,,,,,,,,,,51:28,,,,1,0,0,4,4,304,37,4,263,4,285,42,0.918429,3.147057,9,331,27,88.09523809523809,100.0,92.28070175438596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
