,index,name,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,height,weight,alternateCaptain,captain,rookie,shootsCatches,timeOnIce22,assists22,goals22,pim22,shots22,games22,hits22,powerPlayGoals22,powerPlayPoints22,powerPlayTimeOnIce22,evenTimeOnIce22,penaltyMinutes22,faceOffPct22,shotPct22,gameWinningGoals22,overTimeGoals22,shortHandedGoals22,shortHandedPoints22,shortHandedTimeOnIce22,blocked22,plusMinus22,points22,shifts22,timeOnIcePerGame22,evenTimeOnIcePerGame22,shortHandedTimeOnIcePerGame22,powerPlayTimeOnIcePerGame22,timeOnIce21,assists21,goals21,pim21,shots21,games21,hits21,powerPlayGoals21,powerPlayPoints21,powerPlayTimeOnIce21,evenTimeOnIce21,penaltyMinutes21,faceOffPct21,shotPct21,gameWinningGoals21,overTimeGoals21,shortHandedGoals21,shortHandedPoints21,shortHandedTimeOnIce21,blocked21,plusMinus21,points21,shifts21,timeOnIcePerGame21,evenTimeOnIcePerGame21,shortHandedTimeOnIcePerGame21,powerPlayTimeOnIcePerGame21,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,Salary_2021-22,height_inches
0,2,Defenseman,1989,32,Toronto,ON,CAN,"6' 0""",210,True,False,False,Right,1408.48,17.0,5.0,82.0,114.0,77.0,69.0,0.0,0.0,45.05,1296.37,82.0,0.0,4.4,1.0,0.0,0.0,1.0,67.06,90.0,-8.0,22.0,1755.0,18.17,16.5,0.52,0.35,983.47,14.0,5.0,26.0,99.0,44.0,41.0,2.0,5.0,89.48,827.53,26.0,0.0,5.1,0.0,0.0,0.0,0.0,66.06,46.0,-16.0,19.0,1152.0,22.21,18.48,1.3,2.02,1504.25,11.0,7.0,79.0,151.0,68.0,88.0,2.0,6.0,160.14,1232.41,79.0,0.0,4.6,3.0,0.0,0.0,0.0,111.3,90.0,-21.0,18.0,1883.0,22.07,18.07,1.38,2.21,1427.51,22.0,9.0,60.0,168.0,63.0,56.0,2.0,10.0,163.07,1166.17,60.0,0.0,5.36,1.0,0.0,1.0,1.0,98.27,75.0,5.0,31.0,1731.0,22.39,18.3,1.33,2.35,1977.24,43.0,16.0,82.0,207.0,82.0,111.0,5.0,25.0,253.23,1507.0,82.0,33.33,7.73,2.0,0.0,0.0,1.0,217.01,90.0,18.0,59.0,2323.0,24.06,18.22,2.38,3.05,1610.4,30.0,10.0,44.0,142.0,66.0,78.0,3.0,16.0,172.0,1300.43,44.0,0.0,7.04,2.0,0.0,0.0,1.0,137.57,104.0,-8.0,40.0,1860.0,24.24,19.42,2.05,2.36,8000000.0,72
1,4,Defenseman,1993,27,Regina,SK,CAN,"6' 1""",206,False,False,False,Left,521.14,4.0,0.0,2.0,26.0,37.0,32.0,0.0,0.0,1.03,480.18,2.0,0.0,0.0,0.0,0.0,0.0,1.0,39.53,41.0,-3.0,4.0,721.0,14.05,12.58,1.04,0.01,893.28,14.0,0.0,8.0,29.0,48.0,38.0,0.0,0.0,3.12,809.42,8.0,0.0,0.0,0.0,0.0,0.0,0.0,80.34,73.0,3.0,14.0,1099.0,18.36,16.52,1.4,0.04,538.48,7.0,2.0,4.0,32.0,27.0,12.0,0.0,2.0,23.15,460.25,4.0,0.0,6.3,0.0,0.0,0.0,0.0,55.08,50.0,-9.0,9.0,708.0,19.57,17.03,2.02,0.51,1200.36,28.0,1.0,10.0,71.0,56.0,27.0,0.0,1.0,33.43,1025.18,10.0,0.0,1.41,0.0,0.0,0.0,0.0,141.35,93.0,20.0,29.0,1501.0,21.26,18.18,2.31,0.36,811.12,11.0,1.0,8.0,34.0,44.0,31.0,0.0,0.0,12.06,710.11,8.0,0.0,2.94,0.0,0.0,0.0,0.0,88.55,75.0,4.0,12.0,1059.0,18.26,16.08,2.01,0.16,1099.59,9.0,2.0,24.0,52.0,60.0,23.0,0.0,1.0,26.42,960.5,24.0,0.0,3.85,0.0,0.0,0.0,1.0,112.27,96.0,3.0,11.0,1463.0,18.19,16.0,1.52,0.26,2000000.0,73
2,5,Defenseman,1994,26,Melville,SK,CAN,"6' 2""",205,True,False,False,Right,1888.23,35.0,11.0,57.0,158.0,80.0,91.0,5.0,16.0,186.35,1497.42,57.0,0.0,7.0,0.0,0.0,0.0,1.0,204.06,92.0,-14.0,46.0,2121.0,23.36,18.43,2.33,2.19,1259.08,18.0,3.0,29.0,91.0,56.0,57.0,0.0,4.0,103.02,1041.38,29.0,0.0,3.3,0.0,0.0,0.0,1.0,114.28,50.0,-8.0,21.0,1455.0,22.29,18.36,2.02,1.5,1584.26,23.0,8.0,52.0,114.0,69.0,81.0,3.0,10.0,137.22,1277.5,52.0,0.0,7.0,2.0,0.0,0.0,0.0,169.14,97.0,-20.0,31.0,1924.0,22.57,18.31,2.27,1.59,1807.31,28.0,11.0,58.0,146.0,82.0,83.0,3.0,12.0,201.51,1483.03,58.0,0.0,7.53,0.0,0.0,0.0,1.0,122.37,87.0,-27.0,39.0,2155.0,22.02,18.05,1.29,2.27,1495.4,15.0,9.0,42.0,121.0,76.0,107.0,0.0,4.0,124.24,1342.3,42.0,0.0,7.44,2.0,0.0,0.0,0.0,28.46,62.0,-8.0,24.0,1904.0,19.4,17.39,0.22,1.38,1628.11,28.0,3.0,58.0,125.0,80.0,79.0,0.0,13.0,181.27,1421.3,58.0,0.0,2.4,1.0,0.0,0.0,0.0,25.14,73.0,-31.0,31.0,2091.0,20.21,17.46,0.18,2.16,5050000.0,74
3,8,Defenseman,1995,26,Sun Prairie,WI,USA,"5' 10""",190,False,False,False,Left,609.53,6.0,2.0,0.0,35.0,37.0,11.0,0.0,2.0,25.12,581.44,0.0,0.0,5.7,0.0,0.0,0.0,0.0,2.57,32.0,-10.0,8.0,762.0,16.29,15.43,0.04,0.4,437.44,10.0,1.0,2.0,37.0,23.0,7.0,0.0,2.0,30.34,406.36,2.0,0.0,2.7,0.0,0.0,0.0,0.0,0.34,28.0,-3.0,11.0,519.0,19.01,17.4,0.01,1.19,1003.22,17.0,4.0,6.0,62.0,56.0,31.0,0.0,1.0,72.35,918.16,6.0,0.0,6.5,1.0,0.0,0.0,0.0,12.31,75.0,-8.0,21.0,1269.0,17.55,16.23,0.13,1.17,1503.25,26.0,4.0,18.0,108.0,78.0,38.0,1.0,14.0,216.04,1277.07,18.0,0.0,3.7,1.0,0.0,0.0,0.0,10.14,74.0,-17.0,30.0,1804.0,19.16,16.22,0.07,2.46,1301.12,39.0,5.0,8.0,88.0,81.0,21.0,3.0,23.0,214.24,1082.48,8.0,0.0,5.68,1.0,0.0,0.0,0.0,4.0,62.0,1.0,44.0,1679.0,16.03,13.22,0.02,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100000.0,70
4,9,Left Wing,1995,25,Buffalo,NY,USA,"6' 2""",195,True,False,False,Left,44.17,0.0,0.0,4.0,2.0,3.0,5.0,0.0,0.0,3.49,39.56,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.0,-2.0,0.0,59.0,14.45,13.18,0.1,1.16,823.38,8.0,17.0,29.0,127.0,55.0,38.0,3.0,3.0,103.58,716.22,29.0,35.0,13.4,2.0,0.0,0.0,0.0,3.18,25.0,-6.0,25.0,1136.0,14.58,13.01,0.03,1.53,899.52,12.0,11.0,57.0,141.0,68.0,102.0,0.0,0.0,53.47,841.58,57.0,0.0,7.8,1.0,0.0,0.0,0.0,4.07,26.0,-19.0,23.0,1169.0,13.14,12.22,0.03,0.47,862.44,14.0,10.0,91.0,159.0,63.0,97.0,1.0,3.0,76.11,786.17,91.0,0.0,6.29,1.0,0.0,0.0,0.0,0.16,27.0,-10.0,24.0,1113.0,13.41,12.28,0.0,1.12,946.53,13.0,19.0,84.0,170.0,76.0,75.0,3.0,3.0,72.27,873.52,84.0,66.66,11.18,2.0,0.0,0.0,0.0,0.34,22.0,-6.0,32.0,1275.0,12.27,11.29,0.0,0.57,771.09,9.0,8.0,86.0,105.0,60.0,68.0,2.0,4.0,86.31,683.33,86.0,50.0,7.62,0.0,0.0,0.0,0.0,1.05,26.0,-21.0,17.0,1038.0,12.51,11.23,0.01,1.26,3500000.0,74
5,10,Defenseman,1995,26,Yarmouth,NS,CAN,"6' 5""",220,False,False,False,Left,1554.09,22.0,6.0,24.0,111.0,75.0,90.0,0.0,0.0,4.4,1366.25,24.0,0.0,5.4,0.0,0.0,0.0,0.0,183.04,135.0,-9.0,28.0,1859.0,20.43,18.13,2.26,0.03,1029.01,13.0,2.0,55.0,101.0,54.0,77.0,0.0,0.0,2.46,847.18,55.0,0.0,2.0,0.0,0.0,0.0,0.0,178.57,91.0,15.0,15.0,1248.0,19.03,15.41,3.18,0.03,1307.03,17.0,9.0,45.0,134.0,69.0,112.0,0.0,0.0,4.06,1109.46,45.0,0.0,6.7,0.0,0.0,0.0,2.0,193.11,150.0,40.0,26.0,1580.0,18.56,16.05,2.47,0.03,288.42,2.0,3.0,2.0,26.0,26.0,32.0,0.0,0.0,0.03,257.02,2.0,0.0,11.54,0.0,0.0,0.0,0.0,31.37,51.0,4.0,5.0,405.0,11.06,9.53,1.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,77
6,11,Defenseman,1997,24,Zurich,Unknown,Other,"6' 3""",211,False,False,False,Left,1439.05,13.0,1.0,42.0,92.0,70.0,98.0,0.0,0.0,1.53,1269.49,42.0,0.0,1.1,0.0,0.0,0.0,1.0,167.23,106.0,-5.0,14.0,1690.0,20.33,18.08,2.23,0.01,234.15,0.0,0.0,4.0,7.0,15.0,20.0,0.0,0.0,0.29,202.24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,31.22,17.0,-9.0,0.0,292.0,15.37,13.29,2.05,0.01,1006.39,7.0,2.0,43.0,49.0,64.0,51.0,0.0,0.0,0.37,802.16,43.0,0.0,4.1,1.0,0.0,0.0,0.0,203.46,105.0,11.0,9.0,1248.0,15.43,12.32,3.11,0.0,367.59,4.0,0.0,10.0,12.0,26.0,31.0,0.0,0.0,0.13,340.24,10.0,0.0,0.0,0.0,0.0,0.0,0.0,27.22,44.0,6.0,4.0,481.0,14.09,13.05,1.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050000.0,75
7,12,Center,1997,24,Brno,Unknown,CZE,"6' 3""",210,False,False,False,Left,1179.13,21.0,15.0,22.0,148.0,70.0,80.0,4.0,8.0,153.24,999.09,22.0,50.13,10.1,1.0,1.0,0.0,0.0,26.4,18.0,-21.0,36.0,1548.0,16.5,14.16,0.22,2.11,857.45,18.0,17.0,10.0,103.0,50.0,42.0,5.0,11.0,133.37,657.2,10.0,51.48,16.5,4.0,2.0,0.0,0.0,66.48,10.0,-11.0,35.0,1168.0,17.09,13.08,1.2,2.4,1057.23,24.0,8.0,14.0,97.0,65.0,62.0,3.0,8.0,106.4,818.37,14.0,43.27,8.2,1.0,0.0,2.0,4.0,132.06,19.0,-12.0,32.0,1343.0,16.16,12.35,2.01,1.38,980.51,12.0,13.0,15.0,99.0,61.0,68.0,4.0,6.0,103.01,744.43,15.0,48.87,13.13,2.0,0.0,2.0,3.0,133.07,24.0,-6.0,25.0,1224.0,16.04,12.12,2.1,1.41,991.37,17.0,8.0,30.0,112.0,69.0,70.0,2.0,5.0,90.1,829.06,30.0,43.86,7.14,0.0,0.0,1.0,1.0,72.21,22.0,-3.0,25.0,1298.0,14.22,12.0,1.02,1.18,1001.33,16.0,8.0,19.0,83.0,70.0,54.0,5.0,13.0,128.46,823.46,19.0,40.26,9.64,2.0,0.0,0.0,0.0,49.01,24.0,-17.0,24.0,1299.0,14.18,11.46,0.42,1.5,3000000.0,75
8,14,Left Wing,1998,22,Stockholm,Unknown,SWE,"5' 10""",175,False,False,False,Left,1324.41,47.0,26.0,16.0,197.0,76.0,26.0,3.0,18.0,206.47,1114.23,16.0,0.0,13.2,6.0,0.0,0.0,0.0,3.31,30.0,0.0,73.0,1749.0,17.25,14.39,0.02,2.43,739.3,23.0,7.0,8.0,101.0,46.0,31.0,2.0,8.0,109.51,610.4,8.0,33.33,6.9,1.0,1.0,0.0,1.0,18.59,18.0,4.0,30.0,1019.0,16.04,13.16,0.24,2.23,838.58,16.0,16.0,6.0,101.0,60.0,29.0,1.0,6.0,120.47,716.17,6.0,23.07,15.8,2.0,0.0,0.0,0.0,1.54,22.0,-6.0,32.0,1096.0,13.58,11.56,0.01,2.0,773.33,25.0,8.0,6.0,91.0,51.0,36.0,1.0,8.0,110.32,654.31,6.0,57.14,8.79,1.0,0.0,0.0,0.0,8.3,22.0,-8.0,33.0,961.0,15.1,12.5,0.1,2.1,1128.36,22.0,13.0,18.0,100.0,74.0,44.0,4.0,12.0,151.42,898.01,18.0,63.63,13.0,2.0,0.0,1.0,2.0,78.53,22.0,-16.0,35.0,1516.0,15.15,12.08,1.03,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450000.0,70
9,15,Right Wing,1997,23,Kitchener,ON,CAN,"6' 4""",205,False,False,True,Right,857.1,6.0,12.0,65.0,97.0,72.0,210.0,3.0,4.0,116.09,724.24,65.0,47.91,12.4,1.0,0.0,0.0,0.0,16.37,40.0,-12.0,18.0,1196.0,11.54,10.03,0.13,1.36,517.27,7.0,3.0,21.0,46.0,41.0,136.0,0.0,0.0,5.52,460.32,21.0,36.36,6.5,0.0,0.0,0.0,0.0,51.03,25.0,0.0,10.0,795.0,12.37,11.13,1.14,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.46,0.0,3.0,10.0,13.0,7.0,24.0,0.0,0.0,11.21,77.25,10.0,100.0,23.08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,119.0,12.4,11.03,0.0,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600625.0,76
