,type,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2013-14,2011-12,2012-13,2010-11
0,Defenseman,1989,32,Toronto,ON,CAN,CAN,72,210,True,True,False,False,R,Y,1504.25,11.0,7.0,79.0,151.0,68.0,88.0,2.0,6.0,160.14,1232.41,79.0,0.0,4.6,3.0,0.0,0.0,0.0,111.3,90.0,-21.0,18.0,1883.0,22.07,18.07,1.38,2.21,1427.51,22,9,60,168,63,56,2,10,163.07,1166.17,60,0.0,5.36,1,0,1,1,98.27,75,5,31,1731,22.39,18.3,1.33,2.35,1977.24,43,16,82,207,82,111,5,25,253.23,1507.0,82,33.33,7.73,2,0,0,1,217.01,90,18,59,2323,24.06,18.22,2.38,3.05,1610.4,30,10,44,142,66,78,3,16,172.0,1300.43,44,0.0,7.04,2,0,0,1,137.57,104,-8,40,1860,24.24,19.42,2.05,2.36,7000000.0,7000000.0,11000000.0,11000000.0,10000000.0,10000000.0,8000000.0,0.0,0.0,0.0,0.0
1,Defenseman,1993,27,Regina,SK,CAN,CAN,73,206,True,False,False,False,L,Y,538.48,7.0,2.0,4.0,32.0,27.0,12.0,0.0,2.0,23.15,460.25,4.0,0.0,6.3,0.0,0.0,0.0,0.0,55.08,50.0,-9.0,9.0,708.0,19.57,17.03,2.02,0.51,1200.36,28,1,10,71,56,27,0,1,33.43,1025.18,10,0.0,1.41,0,0,0,0,141.35,93,20,29,1501,21.26,18.18,2.31,0.36,811.12,11,1,8,34,44,31,0,0,12.06,710.11,8,0.0,2.94,0,0,0,0,88.55,75,4,12,1059,18.26,16.08,2.01,0.16,1099.59,9,2,24,52,60,23,0,1,26.42,960.5,24,0.0,3.85,0,0,0,1,112.27,96,3,11,1463,18.19,16.0,1.52,0.26,0.0,0.0,0.0,0.0,0.0,4500000.0,4700000.0,0.0,0.0,0.0,0.0
2,Defenseman,1994,26,Melville,SK,CAN,CAN,74,205,True,True,False,False,R,Y,1584.26,23.0,8.0,52.0,114.0,69.0,81.0,3.0,10.0,137.22,1277.5,52.0,0.0,7.0,2.0,0.0,0.0,0.0,169.14,97.0,-20.0,31.0,1924.0,22.57,18.31,2.27,1.59,1807.31,28,11,58,146,82,83,3,12,201.51,1483.03,58,0.0,7.53,0,0,0,1,122.37,87,-27,39,2155,22.02,18.05,1.29,2.27,1495.4,15,9,42,121,76,107,0,4,124.24,1342.3,42,0.0,7.44,2,0,0,0,28.46,62,-8,24,1904,19.4,17.39,0.22,1.38,1628.11,28,3,58,125,80,79,0,13,181.27,1421.3,58,0.0,2.4,1,0,0,0,25.14,73,-31,31,2091,20.21,17.46,0.18,2.16,0.0,0.0,0.0,2500000.0,3000000.0,4675000.0,4675000.0,0.0,0.0,0.0,0.0
3,Defenseman,1994,27,Orland Park,IL,USA,USA,71,192,True,False,False,False,R,Y,417.53,5.0,1.0,17.0,25.0,29.0,27.0,0.0,0.0,2.29,402.01,17.0,0.0,4.0,1.0,0.0,0.0,0.0,13.23,39.0,-6.0,6.0,564.0,14.24,13.51,0.27,0.05,571.09,9,2,19,42,34,25,0,1,29.16,527.54,19,0.0,4.76,1,0,0,0,13.59,37,-13,11,718,16.47,15.31,0.24,0.51,711.2,8,4,27,55,47,42,1,2,14.15,695.32,27,0.0,7.27,3,0,0,0,1.33,53,5,12,992,15.08,14.47,0.01,0.18,1094.31,6,2,51,89,67,66,1,1,37.2,1038.31,51,0.0,2.25,0,0,0,0,18.4,79,8,8,1493,16.2,15.3,0.16,0.33,0.0,0.0,0.0,0.0,0.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0
4,Defenseman,1995,26,Sun Prairie,WI,USA,USA,70,190,True,False,False,False,L,Y,1003.22,17.0,4.0,6.0,62.0,56.0,31.0,0.0,1.0,72.35,918.16,6.0,0.0,6.5,1.0,0.0,0.0,0.0,12.31,75.0,-8.0,21.0,1269.0,17.55,16.23,0.13,1.17,1503.25,26,4,18,108,78,38,1,14,216.04,1277.07,18,0.0,3.7,1,0,0,0,10.14,74,-17,30,1804,19.16,16.22,0.07,2.46,1301.12,39,5,8,88,81,21,3,23,214.24,1082.48,8,0.0,5.68,1,0,0,0,4.0,62,1,44,1679,16.03,13.22,0.02,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3500000.0,3600000.0,0.0,0.0,0.0,0.0
5,Forward,1995,25,Buffalo,NY,USA,USA,74,195,True,True,False,False,L,Y,899.52,12.0,11.0,57.0,141.0,68.0,102.0,0.0,0.0,53.47,841.58,57.0,0.0,7.8,1.0,0.0,0.0,0.0,4.07,26.0,-19.0,23.0,1169.0,13.14,12.22,0.03,0.47,862.44,14,10,91,159,63,97,1,3,76.11,786.17,91,0.0,6.29,1,0,0,0,0.16,27,-10,24,1113,13.41,12.28,0.0,1.12,946.53,13,19,84,170,76,75,3,3,72.27,873.52,84,66.66,11.18,2,0,0,0,0.34,22,-6,32,1275,12.27,11.29,0.0,0.57,771.09,9,8,86,105,60,68,2,4,86.31,683.33,86,50.0,7.62,0,0,0,0,1.05,26,-21,17,1038,12.51,11.23,0.01,1.26,0.0,0.0,0.0,0.0,2500000.0,2500000.0,2500000.0,0.0,0.0,0.0,0.0
6,Defenseman,1995,26,Yarmouth,NS,CAN,CAN,77,220,True,False,False,False,L,Y,1307.03,17.0,9.0,45.0,134.0,69.0,112.0,0.0,0.0,4.06,1109.46,45.0,0.0,6.7,0.0,0.0,0.0,2.0,193.11,150.0,40.0,26.0,1580.0,18.56,16.05,2.47,0.03,288.42,2,3,2,26,26,32,0,0,0.03,257.02,2,0.0,11.54,0,0,0,0,31.37,51,4,5,405,11.06,9.53,1.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,0.0
7,Forward,1997,24,Brno,Unknown,CZE,CZE,75,210,True,False,False,False,L,Y,1057.23,24.0,8.0,14.0,97.0,65.0,62.0,3.0,8.0,106.4,818.37,14.0,43.27,8.2,1.0,0.0,2.0,4.0,132.06,19.0,-12.0,32.0,1343.0,16.16,12.35,2.01,1.38,980.51,12,13,15,99,61,68,4,6,103.01,744.43,15,48.87,13.13,2,0,2,3,133.07,24,-6,25,1224,16.04,12.12,2.1,1.41,991.37,17,8,30,112,69,70,2,5,90.1,829.06,30,43.86,7.14,0,0,1,1,72.21,22,-3,25,1298,14.22,12.0,1.02,1.18,1001.33,16,8,19,83,70,54,5,13,128.46,823.46,19,40.26,9.64,2,0,0,0,49.01,24,-17,24,1299,14.18,11.46,0.42,1.5,0.0,0.0,0.0,0.0,0.0,1750000.0,2000000.0,0.0,0.0,0.0,0.0
8,Forward,1997,24,Calgary,AB,CAN,CAN,70,194,True,False,False,True,L,Y,45.27,1.0,1.0,2.0,8.0,4.0,9.0,0.0,0.0,2.27,43.0,2.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,59.0,11.21,10.45,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,0,0,2,0,1,0,0,0,2.03,11.27,2,0.0,0.0,0,0,0,0,0.0,0,0,0,19,13.3,11.27,0.0,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,369264.0,0.0,0.0,0.0,0.0
9,Forward,1998,22,Stockholm,Unknown,SWE,SWE,70,175,True,False,False,False,L,Y,838.58,16.0,16.0,6.0,101.0,60.0,29.0,1.0,6.0,120.47,716.17,6.0,23.07,15.8,2.0,0.0,0.0,0.0,1.54,22.0,-6.0,32.0,1096.0,13.58,11.56,0.01,2.0,773.33,25,8,6,91,51,36,1,8,110.32,654.31,6,57.14,8.79,1,0,0,0,8.3,22,-8,33,961,15.1,12.5,0.1,2.1,1128.36,22,13,18,100,74,44,4,12,151.42,898.01,18,63.63,13.0,2,0,1,2,78.53,22,-16,35,1516,15.15,12.08,1.03,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2050000.0,0.0,0.0,0.0,0.0
