,sal_20_21,currentAge,height,weight,total_timeOnIce,total_assists,total_goals,total_pim,total_hits,total_penaltyMinutes,total_faceOffPct,total_shotPct,total_overTimeGoals,total_shortHandedGoals,total_shortHandedTimeOnIce,total_blocked,total_plusMinus,assist_height,name,birthStateProvince,birthCountry,alternateCaptain,captain,rookie,shootsCatches,rosterStatus
0,8000000.0,32,72.0,210,12478.5,239.0,73.0,495.0,667.0,495.0,33.33,41.86000000000001,2.0,1.0,955.5999999999999,706.0,15.0,17208.0,Defenseman,ON,CAN,True,False,False,R,Y
1,4700000.0,27,73.0,206,7060.6,95.0,15.0,104.0,175.0,104.0,0.0,37.89,0.0,0.0,708.13,593.0,13.0,6935.0,Defenseman,SK,CAN,False,False,False,L,Y
2,4675000.0,26,74.0,205,8942.67,126.0,37.0,264.0,435.0,264.0,0.0,30.810000000000002,0.0,0.0,419.78999999999996,394.0,-107.0,9324.0,Defenseman,SK,CAN,True,False,False,R,Y
3,1500000.0,27,71.0,192,3632.25,35.0,12.0,152.0,223.0,152.0,0.0,31.65,0.0,0.0,94.19,283.0,-20.0,2485.0,Defenseman,IL,USA,False,False,False,R,Y
4,3600000.0,26,70.0,190,3807.59,82.0,13.0,32.0,90.0,32.0,0.0,15.879999999999999,0.0,0.0,26.450000000000003,211.0,-24.0,5740.0,Defenseman,WI,USA,False,False,False,L,Y
5,2500000.0,25,74.0,195,3492.64,48.0,48.0,318.0,343.0,318.0,116.66,32.89,0.0,0.0,5.62,101.0,-56.0,3552.0,Left Wing,NY,USA,True,False,False,L,Y
6,2500000.0,26,77.0,220,1595.45,19.0,12.0,47.0,144.0,47.0,0.0,18.24,0.0,0.0,224.48000000000002,201.0,44.0,1463.0,Defenseman,NS,CAN,False,False,False,L,Y
7,2000000.0,24,75.0,210,4046.9500000000003,71.0,37.0,78.0,255.0,78.0,209.59,38.11,0.0,5.0,386.9,89.0,-34.0,5325.0,Center,0,CZE,False,False,False,L,Y
8,369264.0,24,70.0,194,58.57000000000001,1.0,1.0,4.0,9.0,4.0,0.0,12.5,0.0,0.0,0.0,2.0,0.0,70.0,Right Wing,AB,CAN,False,False,True,L,Y
9,2050000.0,22,70.0,175,2740.27,63.0,37.0,30.0,109.0,30.0,143.84,37.59,0.0,1.0,88.37,66.0,-30.0,4410.0,Left Wing,0,SWE,False,False,False,L,Y
10,7000000.0,22,73.0,175,3633.6399999999994,84.0,51.0,62.0,157.0,62.0,139.89,33.14,3.0,1.0,140.93,120.0,-6.0,6132.0,Center,0,CHE,False,True,False,L,Y
11,925000.0,20,71.0,176,967.47,14.0,7.0,10.0,12.0,10.0,36.14,5.7,1.0,0.0,1.06,21.0,-26.0,994.0,Center,FL,USA,False,False,False,L,Y
12,358618.0,36,77.0,224,8283.75,74.0,18.0,281.0,623.0,281.0,0.0,19.47,0.0,2.0,1056.3,510.0,19.0,5698.0,Defenseman,SK,CAN,False,False,False,L,Y
13,1536639.0,36,74.0,185,9930.980000000001,160.0,97.0,188.0,457.0,188.0,376.12,85.97,2.0,9.0,1240.6499999999999,242.0,-50.0,11840.0,Center,MB,CAN,False,False,False,R,Y
14,2500000.0,33,71.0,215,6342.13,68.0,58.0,279.0,1685.0,279.0,304.79,60.67000000000001,1.0,9.0,904.3399999999999,235.0,6.0,4828.0,Right Wing,ON,CAN,False,False,False,R,Y
15,2500000.0,32,72.0,186,7477.64,90.0,21.0,182.0,459.0,182.0,50.0,27.869999999999997,4.0,0.0,819.71,642.0,26.0,6480.0,Defenseman,AB,CAN,False,False,False,L,Y
16,2500000.0,32,72.0,186,7477.64,90.0,21.0,182.0,459.0,182.0,50.0,27.869999999999997,4.0,0.0,819.71,642.0,26.0,6480.0,Defenseman,AB,CAN,False,False,False,L,Y
17,5000000.0,31,73.0,200,9071.31,241.0,96.0,120.0,243.0,120.0,312.98,77.33000000000001,4.0,2.0,242.8,256.0,-31.0,17593.0,Right Wing,ON,CAN,False,False,False,L,Y
