,birthDate,currentAge,height,weight,sal_14_15,sal_15_16,sal_16_17,sal_17_18,sal_18_19,sal_19_20,sal_20_21,total_timeOnIce,total_assists,total_goals,total_pim,total_shots,total_games,total_hits,total_powerPlayGoals,total_powerPlayPoints,total_powerPlayTimeOnIce,total_evenTimeOnIce,total_penaltyMinutes,total_faceOffPct,total_shotPct,total_gameWinningGoals,total_overTimeGoals,total_shortHandedGoals,total_shortHandedPoints,total_shortHandedTimeOnIce,total_blocked,total_plusMinus,total_points,total_shifts,total_timeOnIcePerGame,total_evenTimeOnIcePerGame,total_shortHandedTimeOnIcePerGame,total_powerPlayTimeOnIcePerGame
0,1989,32,72.0,210,7000000.0,7000000.0,11000000.0,11000000.0,10000000.0,10000000.0,8000000.0,12478.5,239,73,495,1218,511,667,26,125,1746.23,9775.470000000001,495,33.33,41.86000000000001,14,2,1,3,955.5999999999999,706,15,312,14387,169.45,132.63,11.829999999999998,22.130000000000003
1,1993,27,73.0,206,0.0,0.0,0.0,0.0,0.0,4500000.0,4700000.0,7060.6,95,15,104,349,347,175,5,23,456.46,5893.61,104,0.0,37.89,0,0,0,2,708.13,593,13,110,8756,137.84,117.6,12.81,6.159999999999999
2,1994,26,74.0,205,0.0,0.0,0.0,2500000.0,3000000.0,4675000.0,4675000.0,8942.67,126,37,264,693,430,435,6,51,872.87,7647.61,264,0.0,30.810000000000002,5,0,0,1,419.78999999999996,394,-107,163,11175,123.85999999999999,105.79,5.16,10.87
3,1994,27,71.0,192,0.0,0.0,0.0,0.0,0.0,1500000.0,1500000.0,3632.25,35,12,152,258,230,223,2,5,103.62,3431.6400000000003,152,0.0,31.65,6,0,0,0,94.19,283,-20,47,4842,92.88999999999999,87.21000000000001,2.02,1.58
4,1995,26,70.0,190,0.0,0.0,0.0,0.0,0.0,3500000.0,3600000.0,3807.59,82,13,32,258,215,90,4,38,502.63,3277.71,32,0.0,15.879999999999999,3,0,0,0,26.450000000000003,211,-24,95,4752,52.739999999999995,45.67,0.22000000000000003,6.01
5,1995,25,74.0,195,0.0,0.0,0.0,0.0,2500000.0,2500000.0,2500000.0,3492.64,48,48,318,577,268,343,6,10,288.23,3197.19,318,116.66,32.89,4,0,0,0,5.62,101,-56,96,4611,64.39,59.61,0.04,3.49
6,1995,26,77.0,220,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,1595.45,19,12,47,160,95,144,0,0,4.09,1366.48,47,0.0,18.24,0,0,0,2,224.48000000000002,201,44,31,1985,29.619999999999997,25.58,3.5900000000000003,0.03
7,1997,24,75.0,210,0.0,0.0,0.0,0.0,0.0,1750000.0,2000000.0,4046.9500000000003,71,37,78,394,266,255,14,32,432.11,3226.74,78,209.59,38.11,5,0,5,8,386.9,89,-34,108,5185,77.11,59.35,6.1,9.61
8,1997,24,70.0,194,0.0,0.0,0.0,0.0,0.0,0.0,369264.0,58.57000000000001,1,1,4,8,5,9,0,0,4.3,54.269999999999996,4,0.0,12.5,0,0,0,0,0.0,2,0,2,78,24.51,21.72,0.0,2.3899999999999997
9,1998,22,70.0,175,0.0,0.0,0.0,0.0,0.0,0.0,2050000.0,2740.27,63,37,30,292,185,109,6,26,382.21000000000004,2268.49,30,143.84,37.59,5,0,1,2,88.37,66,-30,100,3573,43.83,36.14,1.1400000000000001,6.13
10,1999,22,73.0,175,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,3633.6399999999994,84,51,62,463,209,157,6,27,523.9000000000001,2967.61,62,139.89,33.14,6,3,1,2,140.93,120,-6,135,4541,52.269999999999996,42.03,1.25,6.970000000000001
11,2001,20,71.0,176,0.0,0.0,0.0,0.0,0.0,925000.0,925000.0,967.47,14,7,10,123,61,12,4,9,193.42,772.59,10,36.14,5.7,2,1,0,0,1.06,21,-26,21,1104,15.51,12.4,0.01,3.1
12,1985,36,77.0,224,0.0,0.0,0.0,0.0,0.0,1800000.0,358618.0,8283.75,74,18,281,592,471,623,0,0,42.88999999999999,7181.760000000001,281,0.0,19.47,2,0,2,3,1056.3,510,19,92,10878,120.81,104.91999999999999,13.85,0.3400000000000001
13,1985,36,74.0,185,5000000.0,6500000.0,6500000.0,6500000.0,6500000.0,5750000.0,1536639.0,9930.980000000001,160,97,188,797,520,457,27,70,1104.12,7583.410000000001,188,376.12,85.97,10,2,9,14,1240.6499999999999,242,-50,257,12498,131.9,99.86999999999999,14.819999999999999,12.739999999999998
14,1987,33,71.0,215,0.0,0.0,3500000.0,5000000.0,4000000.0,3500000.0,2500000.0,6342.13,68,58,279,722,478,1685,3,5,241.43,5193.16,279,304.79,60.67000000000001,14,1,9,14,904.3399999999999,235,6,126,9451,91.05,74.98,12.02,2.79
15,1989,32,72.0,186,0.0,0.0,0.0,0.0,2500000.0,2500000.0,2500000.0,7477.64,90,21,182,454,410,459,0,4,122.48,6533.049999999999,182,50.0,27.869999999999997,5,4,0,4,819.71,642,26,111,9563,107.96,93.63,10.860000000000001,0.9900000000000001
16,1989,32,72.0,186,0.0,0.0,0.0,0.0,2500000.0,2500000.0,2500000.0,7477.64,90,21,182,454,410,459,0,4,122.48,6533.049999999999,182,50.0,27.869999999999997,5,4,0,4,819.71,642,26,111,9563,107.96,93.63,10.860000000000001,0.9900000000000001
