fullName,name,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,height,weight,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,ot20,shutouts20,ties20,wins20,losses20,saves20,powerPlaySaves20,shortHandedSaves20,evenSaves20,shortHandedShots20,evenShots20,powerPlayShots20,savePercentage20,goalAgainstAverage20,gamesStarted20,shotsAgainst20,goalsAgainst20,powerPlaySavePercentage20,shortHandedSavePercentage20,evenStrengthSavePercentage20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,ot19,shutouts19,ties19,wins19,losses19,saves19,powerPlaySaves19,shortHandedSaves19,evenSaves19,shortHandedShots19,evenShots19,powerPlayShots19,savePercentage19,goalAgainstAverage19,gamesStarted19,shotsAgainst19,goalsAgainst19,powerPlaySavePercentage19,shortHandedSavePercentage19,evenStrengthSavePercentage19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,ot18,shutouts18,ties18,wins18,losses18,saves18,powerPlaySaves18,shortHandedSaves18,evenSaves18,shortHandedShots18,evenShots18,powerPlayShots18,savePercentage18,goalAgainstAverage18,gamesStarted18,shotsAgainst18,goalsAgainst18,powerPlaySavePercentage18,shortHandedSavePercentage18,evenStrengthSavePercentage18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,ot17,shutouts17,wins17,losses17,saves17,powerPlaySaves17,shortHandedSaves17,evenSaves17,shortHandedShots17,evenShots17,powerPlayShots17,savePercentage17,goalAgainstAverage17,gamesStarted17,shotsAgainst17,goalsAgainst17,powerPlaySavePercentage17,shortHandedSavePercentage17,evenStrengthSavePercentage17,timeOnIce16,assists16,goals16,pim16,shots16,games16,hits16,powerPlayGoals16,powerPlayPoints16,powerPlayTimeOnIce16,evenTimeOnIce16,penaltyMinutes16,faceOffPct16,shotPct16,gameWinningGoals16,overTimeGoals16,shortHandedGoals16,shortHandedPoints16,shortHandedTimeOnIce16,blocked16,plusMinus16,points16,shifts16,timeOnIcePerGame16,evenTimeOnIcePerGame16,shortHandedTimeOnIcePerGame16,powerPlayTimeOnIcePerGame16,ot16,shutouts16,wins16,losses16,saves16,powerPlaySaves16,shortHandedSaves16,evenSaves16,shortHandedShots16,evenShots16,powerPlayShots16,savePercentage16,goalAgainstAverage16,gamesStarted16,shotsAgainst16,goalsAgainst16,powerPlaySavePercentage16,shortHandedSavePercentage16,evenStrengthSavePercentage16,timeOnIce15,assists15,goals15,pim15,shots15,games15,hits15,powerPlayGoals15,powerPlayPoints15,powerPlayTimeOnIce15,evenTimeOnIce15,penaltyMinutes15,faceOffPct15,shotPct15,gameWinningGoals15,overTimeGoals15,shortHandedGoals15,shortHandedPoints15,shortHandedTimeOnIce15,blocked15,plusMinus15,points15,shifts15,timeOnIcePerGame15,evenTimeOnIcePerGame15,shortHandedTimeOnIcePerGame15,powerPlayTimeOnIcePerGame15,ot15,shutouts15,wins15,losses15,saves15,powerPlaySaves15,shortHandedSaves15,evenSaves15,shortHandedShots15,evenShots15,powerPlayShots15,savePercentage15,goalAgainstAverage15,gamesStarted15,shotsAgainst15,goalsAgainst15,powerPlaySavePercentage15,shortHandedSavePercentage15,evenStrengthSavePercentage15,timeOnIce14,assists14,goals14,pim14,shots14,games14,hits14,powerPlayGoals14,powerPlayPoints14,powerPlayTimeOnIce14,evenTimeOnIce14,penaltyMinutes14,faceOffPct14,shotPct14,gameWinningGoals14,overTimeGoals14,shortHandedGoals14,shortHandedPoints14,shortHandedTimeOnIce14,blocked14,plusMinus14,points14,shifts14,timeOnIcePerGame14,evenTimeOnIcePerGame14,shortHandedTimeOnIcePerGame14,powerPlayTimeOnIcePerGame14,ot14,shutouts14,wins14,losses14,saves14,powerPlaySaves14,shortHandedSaves14,evenSaves14,shortHandedShots14,evenShots14,powerPlayShots14,savePercentage14,goalAgainstAverage14,gamesStarted14,shotsAgainst14,goalsAgainst14,powerPlaySavePercentage14,shortHandedSavePercentage14,evenStrengthSavePercentage14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Aaron Dell,Goalie,1989-05-04,32,Airdrie,AB,CAN,"6' 0""",209,False,False,False,L,Y,1834:14,0,0,0,0,33,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,55:34,0,0,0,3,0,0,12,15,894,118,24,752,26,827,133,0.907,3.0094,30,986,92,88.7218045112782,92.3076923076923,90.9310761789601,1323:17,0,0,0,0,25,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,52:55,0,0,0,4,2,0,10,8,543,67,24,452,26,503,84,0.885808,3.173923,20,613,70,79.76190476190477,92.3076923076923,89.86083499005964,1522:05,0,0,0,0,29,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,52:29,0,0,0,4,2,0,15,5,708,96,26,586,27,640,108,0.913548,2.641117,22,775,67,88.88888888888889,96.29629629629629,91.5625,1110:33,0,0,0,0,20,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,55:31,0,0,0,1,1,11,6,496,47,9,440,12,465,56,0.930582,1.999009,17,533,37,83.92857142857143,75.0,94.6236559139785,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0
Cory Schneider,Goalie,1986-03-18,35,Marblehead,MA,USA,"6' 3""",200,False,False,False,L,Y,679:16,0,0,0,0,13,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,52:15,0,0,0,2,1,0,3,6,315,42,11,262,12,293,50,0.887,3.5332,11,355,40,84.0,91.66666666666666,89.419795221843,1371:47,0,0,0,0,26,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,52:45,0,0,0,4,1,0,6,13,648,74,22,552,25,610,83,0.902507,3.061708,23,718,70,89.1566265060241,88.0,90.49180327868852,2332:15,0,0,0,0,40,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:18,0,0,0,6,1,0,17,16,1114,169,34,911,36,996,196,0.907166,2.93279,40,1228,114,86.22448979591837,94.44444444444444,91.46586345381526,3472:50,0,0,0,0,60,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,57:52,0,0,0,11,2,20,27,1618,207,43,1368,52,1487,242,0.908478,2.816144,59,1781,163,85.53719008264463,82.6923076923077,91.99731002017485,3412:26,0,0,0,0,58,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:50,0,0,0,6,4,27,25,1475,228,39,1208,44,1295,258,0.923607,2.145097,58,1597,122,88.37209302325581,88.63636363636364,93.28185328185327,3923:55,0,0,0,0,69,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:52,0,0,0,9,5,26,31,1834,296,44,1494,48,1602,332,0.925328,2.263045,68,1982,148,89.1566265060241,91.66666666666666,93.25842696629213,2679:54,0,0,0,0,45,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,59:33,0,0,0,12,3,16,15,1019,171,33,815,33,888,186,0.920506,1.970223,43,1107,88,91.93548387096774,100.0,91.77927927927928,0.0,0.0,0.0,0.0,0.0,0.0,700000.0
Cory Schneider,Goalie,1986-03-18,35,Marblehead,MA,USA,"6' 3""",200,False,False,False,L,Y,679:16,0,0,0,0,13,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,52:15,0,0,0,2,1,0,3,6,315,42,11,262,12,293,50,0.887,3.5332,11,355,40,84.0,91.66666666666666,89.419795221843,1371:47,0,0,0,0,26,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,52:45,0,0,0,4,1,0,6,13,648,74,22,552,25,610,83,0.902507,3.061708,23,718,70,89.1566265060241,88.0,90.49180327868852,2332:15,0,0,0,0,40,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:18,0,0,0,6,1,0,17,16,1114,169,34,911,36,996,196,0.907166,2.93279,40,1228,114,86.22448979591837,94.44444444444444,91.46586345381526,3472:50,0,0,0,0,60,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,57:52,0,0,0,11,2,20,27,1618,207,43,1368,52,1487,242,0.908478,2.816144,59,1781,163,85.53719008264463,82.6923076923077,91.99731002017485,3412:26,0,0,0,0,58,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:50,0,0,0,6,4,27,25,1475,228,39,1208,44,1295,258,0.923607,2.145097,58,1597,122,88.37209302325581,88.63636363636364,93.28185328185327,3923:55,0,0,0,0,69,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:52,0,0,0,9,5,26,31,1834,296,44,1494,48,1602,332,0.925328,2.263045,68,1982,148,89.1566265060241,91.66666666666666,93.25842696629213,2679:54,0,0,0,0,45,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,59:33,0,0,0,12,3,16,15,1019,171,33,815,33,888,186,0.920506,1.970223,43,1107,88,91.93548387096774,100.0,91.77927927927928,0.0,0.0,0.0,0.0,0.0,0.0,700000.0
Semyon Varlamov,Goalie,1988-04-27,33,Samara,Unknown,RUS,"6' 2""",215,False,False,False,L,Y,2517:19,0,0,0,0,45,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,55:56,0,0,0,6,2,0,19,14,1168,147,23,998,26,1084,168,0.914,2.6218,39,1278,110,87.5,88.46153846153845,92.06642066420663,2839:12,0,0,0,0,49,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,57:56,0,0,0,9,2,0,20,19,1360,234,31,1095,33,1195,268,0.909091,2.874049,49,1496,136,87.31343283582089,93.93939393939394,91.63179916317992,2861:03,0,0,0,0,51,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:05,0,0,0,6,2,0,24,16,1467,225,43,1199,48,1299,248,0.919749,2.684329,47,1595,128,90.7258064516129,89.58333333333334,92.30177059276366,1347:47,0,0,0,0,24,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:09,0,0,0,0,1,6,17,669,109,21,539,21,596,128,0.897987,3.383333,23,745,76,85.15625,100.0,90.43624161073825,3159:25,0,0,0,0,57,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,55:25,0,0,0,3,2,27,25,1566,207,45,1314,49,1424,241,0.913652,2.810645,57,1714,148,85.89211618257261,91.83673469387756,92.2752808988764,3306:50,0,0,0,0,57,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:00,0,0,0,8,5,28,20,1650,244,35,1371,36,1496,259,0.921273,2.558339,57,1791,141,94.20849420849422,97.22222222222221,91.64438502673798,3639:46,0,0,0,0,63,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,57:46,0,0,0,6,2,41,14,1867,273,39,1555,40,1667,306,0.927471,2.406748,60,2013,146,89.2156862745098,97.5,93.28134373125376,0.0,0.0,0.0,0.0,0.0,6000000.0,4000000.0
Ilya Sorokin,Goalie,1995-08-04,25,Mezhdurechensk,Unknown,RUS,"6' 3""",190,False,False,True,L,Y,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0
Keith Kinkaid,Goalie,1989-07-04,32,Farmingville,NY,USA,"6' 3""",186,False,False,False,L,Y,339:59,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:39,0,0,0,3,0,0,1,1,168,23,5,140,6,157,29,0.875,4.2355,5,192,24,79.3103448275862,83.33333333333334,89.171974522293,2301:58,0,0,0,0,41,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:08,0,0,0,6,3,0,15,18,1059,120,44,895,48,998,142,0.891414,3.362342,38,1188,129,84.50704225352112,91.66666666666666,89.67935871743487,2297:34,0,0,0,0,41,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:02,0,0,0,3,1,0,26,10,1108,138,32,938,33,1026,155,0.912685,2.768146,38,1214,106,89.03225806451613,96.96969696969697,91.42300194931774,1476:05,0,0,0,0,26,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,56:46,0,0,0,3,1,8,13,713,125,14,574,17,618,143,0.916452,2.642127,23,778,65,87.41258741258741,82.35294117647058,92.88025889967638,1240:26,0,0,0,0,23,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,53:55,0,0,0,1,2,9,9,547,93,11,443,12,488,105,0.904132,2.805471,20,605,58,88.57142857142857,91.66666666666666,90.77868852459017,925:26,0,0,0,0,19,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,48:42,0,0,0,4,0,6,5,429,59,9,361,11,387,71,0.914712,2.59338,13,469,40,83.09859154929578,81.81818181818183,93.28165374677002,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148718.0
Igor Shesterkin,Goalie,1995-12-30,25,Moscow,Unknown,RUS,"6' 2""",182,False,False,True,L,Y,691:35,0,0,0,0,12,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,57:37,0,0,0,0,0,0,10,2,395,54,11,330,12,353,59,0.932,2.516,12,424,29,91.52542372881356,91.66666666666666,93.48441926345609,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459532.0,752784.0
Brian Elliott,Goalie,1985-04-09,36,Newmarket,ON,CAN,"6' 2""",209,False,False,False,L,Y,1673:54,0,0,0,0,31,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,53:59,0,0,0,4,2,0,16,7,716,84,26,606,28,668,100,0.899,2.8676,27,796,80,84.0,92.85714285714286,90.71856287425149,1396:43,0,0,0,0,26,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,53:43,0,0,0,1,1,0,11,11,672,87,23,562,26,612,103,0.906883,2.964094,23,741,69,84.46601941747572,88.46153846153845,91.83006535947712,2522:00,0,0,0,0,43,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:39,0,0,0,7,1,0,23,11,1116,125,38,953,44,1030,154,0.908795,2.664552,42,1228,112,81.16883116883116,86.36363636363636,92.5242718446602,2844:25,0,0,0,0,49,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,58:02,0,0,0,3,2,26,18,1217,206,31,980,34,1068,236,0.909567,2.552369,45,1338,121,87.28813559322035,91.17647058823529,91.76029962546816,2263:00,0,0,0,0,42,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,53:52,0,0,0,6,4,23,8,1035,193,24,818,24,876,213,0.929919,2.068051,38,1113,78,90.61032863849765,100.0,93.37899543378995,2545:48,0,0,0,0,46,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,55:20,0,0,0,3,5,26,14,1054,141,27,886,32,958,160,0.916522,2.26255,45,1150,96,88.125,84.375,92.48434237995825,1624:19,0,0,0,0,31,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,52:23,0,0,0,2,4,18,6,628,93,12,523,14,566,101,0.922173,1.957746,25,681,53,92.07920792079209,85.71428571428571,92.40282685512368,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0
Alex Lyon,Goalie,1992-12-09,28,Baudette,MN,USA,"6' 1""",201,False,False,False,L,Y,135:19,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,45:06,0,0,0,0,0,0,1,1,65,7,1,57,1,63,9,0.89,3.5472,2,73,8,77.77777777777779,100.0,90.47619047619048,70:49,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,35:24,0,0,0,0,0,0,0,1,25,4,3,18,3,23,5,0.806452,5.083549,1,31,6,80.0,100.0,78.26086956521739,479:48,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,43:37,0,0,0,1,0,0,4,2,210,19,6,185,6,204,22,0.905172,2.751146,7,232,22,86.36363636363636,100.0,90.68627450980392,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205156.0
Maxime Lagace,Goalie,1993-01-12,28,Saint-Augustin,QC,CAN,"6' 2""",190,False,False,False,L,Y,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,59:31,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,59:31,0,0,0,0,0,0,0,1,27,5,0,22,0,26,5,0.870968,4.032484,1,31,4,100.0,0.0,84.61538461538461,873:31,0,0,0,0,16,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,54:35,0,0,0,1,0,0,6,7,373,67,9,297,10,339,81,0.867442,3.915209,14,430,57,82.71604938271605,90.0,87.61061946902655,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48272.0
